iucn_id,Species,author
,Cylindropuntia x tetracantha,
,Atriplex linearis,S.Watson
,Matthiola longipetala subsp. bicornis,
,Amsinckia menziesii var. intermedia,
,Abutilon incanum,
,Abutilon palmeri,
,Abutilon parvulum,
,Acourtia nana,
,Acourtia wrightii,
,Adenophyllum porophylloides,
,Agave murpheyi,
,Aloysia wrightii,
,Amaranthus fimbriatus,(Torr.) Benth.
,Amaranthus torreyi,(A.Gray) Benth. ex S.Watson
,Ambrosia ambrosioides,
,Ambrosia confertiflora,
,Ambrosia deltoidea,
,Ambrosia dumosa,
,Ambrosia eriocentra,
,Ambrosia salsola,
,Amsinckia tessellata,
,Androsace occidentalis,
,Anemone tuberosa,
,Anisacanthus thurberi,(Torr.) A. Gray
,Aphyllon cooperi,A.Gray
,Argemone pleiacantha,
,Aristida adscensionis,Humb. & Bonpl. ex Willd.
,Aristida pansa,
,Aristolochia watsonii,
,Asclepias nyctaginifolia,
,Asclepias subulata,
,Astragalus nuttallianus,
,Athysanus pusillus,
,Atriplex canescens,
,Ayenia filiformis,
,Baccharis brachyphylla,
,Baccharis salicifolia,(Ruiz & Pav.) Pers.
,Baccharis sarothroides,
,Baileya multiradiata,
,Monolepis nuttalliana,Schult.
,Boechera perennans,
,Boerhavia coulteri,
,Boerhavia spicata,
,Boerhavia wrightii,
,Bothriochloa barbinodis,
,Bouteloua aristidoides,
,Bouteloua barbata,Lag.
,Bowlesia incana,
,Brickellia californica,
,Brickellia coulteri,
,Bromus arizonicus,
,Bromus arvensis,
,Bromus carinatus,
,Calandrinia ciliata,
,Calliandra eriophylla,
,Calyptridium monandrum,Nutt.
,Canotia holacantha,
,Carlowrightia arizonica,A. Gray
,Carnegiea gigantea,
,Celtis reticulata,Torr.
,Cercocarpus montanus,
,Chaenactis stevioides,
,Notholaena standleyi,Domin
,Chenopodium pratericola,Rydb
,Chenopodium watsonii,
,Chorizanthe brevicornu,
,Cirsium neomexicanum,
,Clarkia epilobioides,
,Clematis drummondii,
,Commicarpus scandens,(L.) Standl.
,Condea emoryi,(Torr.) Harley & J.F.B.Pastore
,Crassula connata,
,Cryptantha barbigera,
,Cryptantha decipiens,
,Cryptantha maritima,
,Cryptantha muricata,
,Cucurbita digitata,
,Cuscuta indecora,
,Cuscuta umbellata,
,Lotus humilis,
,Mimosa biuncifera,
,Ottleya intricata,
,Astragalus recurvus,
,Lupinus brevicaulis,
,Melilotus albus,
,Lotus corniculatus,
,Neptunia plena,
,Desmodium cinerascens,
